sitename,cultivar,canopy_height,aboveground_dry_biomass,flag_leaf_emergence_time,flowering_time
MAC Field Scanner Season 4 Range 6 Column 14,PI152751,283.0,26770.0,,
MAC Field Scanner Season 4 Range 6 Column 15,PI152733,395.0,27270.0,,
MAC Field Scanner Season 4 Range 6 Column 2,PI570075,415.0,14710.0,,
MAC Field Scanner Season 4 Range 6 Column 3,PI569423,309.0,14430.0,,
MAC Field Scanner Season 4 Range 6 Column 4,PI329286,186.0,17300.0,,
MAC Field Scanner Season 4 Range 6 Column 5,PI329403,411.0,29810.0,,
MAC Field Scanner Season 4 Range 6 Column 6,PI569148,229.0,26780.0,,
MAC Field Scanner Season 4 Range 6 Column 7,PI570038,387.0,22980.0,,
MAC Field Scanner Season 4 Range 6 Column 8,PI329646,406.0,17700.0,,
MAC Field Scanner Season 4 Range 6 Column 9,PI570110,374.0,30120.0,,
MAC Field Scanner Season 4 Range 7 Column 10,PI569419,317.0,7878.0,,
MAC Field Scanner Season 4 Range 7 Column 11,PI619807,188.0,26180.0,,
MAC Field Scanner Season 4 Range 7 Column 12,PI521290,223.0,27020.0,,
MAC Field Scanner Season 4 Range 7 Column 13,PI562732,383.0,31570.0,,
MAC Field Scanner Season 4 Range 7 Column 14,PI568717,368.0,23270.0,,
MAC Field Scanner Season 4 Range 7 Column 15,PI329471,235.0,9079.0,,
MAC Field Scanner Season 4 Range 7 Column 2,PI303658,327.0,42000.0,,
MAC Field Scanner Season 4 Range 7 Column 3,PI570085,348.0,16360.0,,
MAC Field Scanner Season 4 Range 7 Column 4,PI329710,339.0,23870.0,,
MAC Field Scanner Season 4 Range 7 Column 5,PI329644,213.0,54870.0,,
MAC Field Scanner Season 4 Range 7 Column 6,PI646242,216.0,32700.0,,
MAC Field Scanner Season 4 Range 7 Column 7,PI155516,339.0,23980.0,,
MAC Field Scanner Season 4 Range 7 Column 8,PI152694,253.0,26430.0,62.0,64.0
MAC Field Scanner Season 4 Range 7 Column 9,PI562897,236.0,37200.0,,
MAC Field Scanner Season 4 Range 8 Column 10,PI510757,376.0,7531.0,,
MAC Field Scanner Season 4 Range 8 Column 11,PI330199,237.0,20330.0,,
MAC Field Scanner Season 4 Range 8 Column 12,PI329865,405.0,25720.0,,
MAC Field Scanner Season 4 Range 8 Column 13,PI154750,230.0,26540.0,,
MAC Field Scanner Season 4 Range 8 Column 14,PI521280,212.0,19480.0,,
MAC Field Scanner Season 4 Range 8 Column 15,PI156487,208.0,19160.0,,
MAC Field Scanner Season 4 Range 8 Column 2,PI176766,260.0,18790.0,62.0,64.0
MAC Field Scanner Season 4 Range 8 Column 3,PI506122,316.0,23260.0,,
MAC Field Scanner Season 4 Range 8 Column 4,PI329584,307.0,5968.0,,
MAC Field Scanner Season 4 Range 8 Column 5,PI156178,188.0,14310.0,,
MAC Field Scanner Season 4 Range 8 Column 6,PI562990,190.0,15810.0,,
MAC Field Scanner Season 4 Range 8 Column 7,PI330195,204.0,28670.0,,
MAC Field Scanner Season 4 Range 8 Column 8,PI570145,381.0,15460.0,,
MAC Field Scanner Season 4 Range 8 Column 9,PI329510,394.0,34810.0,,
MAC Field Scanner Season 4 Range 9 Column 10,PI329319,158.0,1673.0,,
MAC Field Scanner Season 4 Range 9 Column 11,PI570431,403.0,47210.0,,
MAC Field Scanner Season 4 Range 9 Column 12,PI257600,404.0,23260.0,,
MAC Field Scanner Season 4 Range 9 Column 13,PI276837,393.0,35060.0,,
MAC Field Scanner Season 4 Range 9 Column 14,Unknown off type,362.0,12080.0,50.0,58.0
MAC Field Scanner Season 4 Range 9 Column 15,PI569454,346.0,23020.0,,
MAC Field Scanner Season 4 Range 9 Column 2,PI569416,118.0,9052.0,,
MAC Field Scanner Season 4 Range 9 Column 3,PI569457,329.0,18450.0,,
MAC Field Scanner Season 4 Range 9 Column 4,PI521152,375.0,27930.0,,
MAC Field Scanner Season 4 Range 9 Column 5,PI569452,387.0,19620.0,,
MAC Field Scanner Season 4 Range 9 Column 6,PI329351,252.0,13300.0,,
MAC Field Scanner Season 4 Range 9 Column 7,PI585961,337.0,24140.0,,
MAC Field Scanner Season 4 Range 9 Column 8,PI563350,214.0,24100.0,,
MAC Field Scanner Season 4 Range 9 Column 9,PI643016,290.0,42720.0,,
